FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,borne_fontaine_organisme,geometry
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2cc,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1332966666666664 8.229711666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2cb,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1357016666666668 8.220431666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ca,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1329300000000002 8.219221666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c9,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1343150000000006 8.220648333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c8,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1364123102558512 8.220916627499866)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c7,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1407566666666704 8.220446666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c6,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1454700000000038 8.217941666666661)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c5,Centrale,Blitta,Blitta 2,Agbandi,TDE,POINT (1.1455016314436264 8.222413788947469)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c4,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.291943333333335 9.722383333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c3,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2871433333333326 9.716198333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c2,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2859650000000002 9.7213)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c1,Kara,Binah,Binah 1,Lama-Dessi,TDE,POINT (1.2828416666666689 9.722756666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2c0,Kara,Binah,Binah 1,Pagouda,TDE,POINT (1.2978766666666663 9.728393333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bf,Kara,Binah,Binah 1,Pagouda,TDE,POINT (1.3018616666666685 9.733225)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2be,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4517300000000032 8.644160000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bd,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4543983333333336 8.645765000000003)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bc,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.198533333333334 9.812343333333326)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2bb,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4480049999999994 8.642653333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ba,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4465616666666664 8.64822166666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b9,Centrale,Mô,Mô 2,Tindjasse,TDE,POINT (0.4490383333333325 8.641546666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b8,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9784217370154162 8.319062400955948)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b7,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9741449999999993 8.318096666666662)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b6,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9860066666666658 8.32894833333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b5,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9816649999999999 8.324331666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b4,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9842899999999999 8.327213333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b3,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951216666666661 8.728799999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b2,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951333333333329 8.728806666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b1,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3951400659117791 8.728811538877533)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2b0,Centrale,Mô,Mô 2,Tindjasse,Hydraulique villageoise,POINT (0.3952033333333322 8.728743333333322)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2af,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Nsp,POINT (0.6300533333333331 6.908875)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ae,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9934166666666685 8.334603333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ad,Centrale,Blitta,Blitta 1,Blitta,TDE,POINT (0.9802883333333333 8.321868333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ac,Plateaux,Kloto,Kloto 1,Agome-Kpalime,TDE,POINT (0.6285766666666659 6.910581666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2ab,Centrale,Sotouboua,Sotouboua 1,Sotouboua,TDE,POINT (0.9661316666666676 8.550421666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2aa,Centrale,Sotouboua,Sotouboua 2,Aouda,TDE,POINT (1.0563366666666663 8.732708333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a9,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.1967299999999994 9.813008333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a8,Kara,Doufelgou,Doufelgou 1,Siou,TDE,POINT (1.1944249999999998 9.814171666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a7,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,TDE,POINT (0.9095633333333327 7.207546666666669)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a6,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.5867116666666665 7.007536666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a5,Plateaux,Agou,Agou 1,Gadja,TDE,POINT (0.7703966666666666 6.8236283333333345)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a4,Kara,Doufelgou,Doufelgou 1,Niamtougou,TDE,POINT (1.1294466666666672 9.759364999999995)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a3,Kara,Doufelgou,Doufelgou 1,Niamtougou,TDE,POINT (1.1109650000000015 9.767878333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a2,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6232700000000007 7.0506216666666655)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a1,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Nsp,POINT (1.28374 7.953118333333327)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-2a0,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.604401666666667 7.022340000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29f,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6039250000000003 7.0224366666666596)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29e,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.612386666666667 7.027845)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29d,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6135965053810732 7.018569911952866)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29c,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,TDE,POINT (1.6039833333333349 7.019253333333331)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29b,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2815716666666668 7.952513333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-29a,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2795466666666666 7.957448333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-299,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),TDE,POINT (0.7010757329292563 6.555654767783119)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-298,Centrale,Blitta,Blitta 2,Tcharè-Baou,Nsp,POINT (1.0376416666666695 7.997606666666672)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-297,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,TDE,POINT (1.2912583333333356 7.948944999999994)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-296,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3297316666666672 9.35821)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-295,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3269183333333343 9.35815333333332)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-294,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3303966666666671 9.359505)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-293,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3311199999999992 9.358341666666677)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-292,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.331371666666667 9.359346666666664)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-291,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.328990000000002 9.358890000000004)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-290,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.33141 9.359060000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28f,Kara,Assoli,Assoli 3,Soudou,TDE,POINT (1.3290600000000028 9.357921666666666)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28e,Plateaux,Moyen-Mono,Moyen-Mono 1,Tado,Hydraulique villageoise,POINT (1.5969966666666684 7.14429333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28d,Plateaux,Amou,Amou 3,Evou,Nsp,POINT (1.037483333333333 7.515454999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28c,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0125249999999986 7.525809999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28b,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0175850000000004 7.519888333333336)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_-28a,Plateaux,Amou,Amou 1,Adiva,TDE,POINT (1.0203300000000028 7.5122866666666654)
