FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300b,Centrale,Sotouboua,Sotouboua 2,Séssaro,Sessaro,PEA SESSARO,Nsp,Nsp,POINT (1.1683333329999996 8.609166666999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300c,Centrale,Tchamba,Tchamba 3,Kaboli,Olale I,PEA OLALE I,Nsp,Nsp,POINT (1.5938888890000005 8.746944443999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300d,Maritime,Lacs,Lacs 2,Aklakou,Sagbove,PEA SAGBOVE,Avec pompe sans tank,Nsp,POINT (1.726426666666667 6.365443333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300e,Maritime,Lacs,Lacs 2,Aklakou,Aklakou,PEA AKLAKOU,Avec tank sans pompe,CEG AKLAKOU,POINT (1.7060566666666672 6.351204999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_300f,Centrale,Blitta,Blitta 1,Pagala-Gare,Pagala Carrière 1,PEA PAGALA CARRIÈRE 1,Avec tank sans pompe,Nsp,POINT (0.9789316666666666 8.178436666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3010,Savanes,Oti,Oti 2,Galangashie,Usp Centre,PEA USP centre,Avec pompe et tank,USP GALANGACHI,POINT (0.3504333333333336 10.505806666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3011,Savanes,Oti,Oti 2,Galangashie,Galangachi Fonboro,PEA GALANGACHI FONBORO,Avec tank sans pompe,CENTRE DES JEUNES,POINT (0.3574066666666663 10.516164999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3012,Maritime,Yoto,Yoto 1,Kini-Kondji,Simedo Kondji,PEA Simedo Kondji,Avec tank sans pompe,Nsp,POINT (1.5305299999999997 6.602391666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3013,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Avec pompe et tank,Nsp,POINT (0.8086850000000004 9.456694999999996)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3014,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Avec pompe et tank,Nsp,POINT (0.8080683333333328 9.44849)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3015,Kara,Bassar,Bassar 3,Kabou,Kabou,PEA KABOU,Nsp,Nsp,POINT (0.8122222220000002 9.456666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3016,Kara,Bassar,Bassar 3,Kabou,Kiwan,PEA KIWAN,Nsp,Nsp,POINT (0.8122222000000001 9.456666999999998)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3017,Kara,Binah,Binah 1,Solla,Iheï,PEA IHEÏ,Avec pompe et tank,EPP IHEÏ,POINT (1.3341566666666675 9.952256666666669)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3018,Kara,Binah,Binah 1,Solla,Kopobi,PEA KOPOBI,Avec pompe et tank,Nsp,POINT (1.3352649999999995 9.99084)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3019,Maritime,Yoto,Yoto 1,Kouvé,Azove,PEA AZOVE,Avec tank sans pompe,Nsp,POINT (1.3625666666666674 6.807601666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301a,Kara,Kéran,Kéran 1,Pessidè,Nabine,PEA NABINE,Avec pompe et tank,Nsp,POINT (1.0212466666666675 10.054975)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301b,Kara,Kozah,Kozah 2,Sara-Kawa,Sara,PEA SARA,Avec pompe et tank,Nsp,POINT (1.0263399999999998 9.646374999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301c,Kara,Kozah,Kozah 2,Sara-Kawa,Zaap,PEA ZAAP,Avec tank sans pompe,Nsp,POINT (1.0519183333333333 9.64629833333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301d,Kara,Kozah,Kozah 2,Sara-Kawa,Zaap,PEA ZAAP,Avec pompe et tank,Périmètre agricole,POINT (1.0487150000000007 9.636755)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301e,Kara,Kozah,Kozah 2,Sara-Kawa,Sara,PEA Sara,Avec tank sans pompe,Marché de Sara,POINT (1.0224266666666675 9.632714999999997)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_301f,Kara,Kozah,Kozah 4,Atchangbadè,Bounoh,PEA BOUNOH,Avec pompe et tank,Nsp,POINT (1.0968066666666667 9.475193333333332)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3020,Kara,Kozah,Kozah 4,Atchangbadè,Tcheleyo,PEA TCHELEYO,Avec pompe et tank,Nsp,POINT (1.1368049999999996 9.46051)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_3021,Kara,Kozah,Kozah 4,Atchangbadè,Wiyaoude,PEA Wiyaoude,Sans pompe ni tank,Nsp,POINT (1.124863333333333 9.47582333333333)
