FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,utilisation_cout,toilette_type,geometry
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88f,Maritime,Avé,Avé 1,Tovégan,Avego,Nsp,{Latrines seches},POINT (0.9569516666666666 6.583466666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88e,Maritime,Avé,Avé 1,Ando,Agotime-batoume,Gratuit,{Latrines seches},POINT (0.754 6.476086666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88d,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkassé-Pogueyoogo,Payant,"{Latrines seches,Douches}",POINT (0.0156916666666667 11.112055000000002)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88c,Maritime,Avé,Avé 1,Kévé,Ekpo,Gratuit,{WCs},POINT (0.9283583979521705 6.428651303750424)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88b,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoé,Payant,{Latrines a eau},POINT (1.2029833256505442 6.133353978764716)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-88a,Maritime,Vo,Vo 3,Dagbati,Aviahonou,Gratuit,{WCs},POINT (1.48602969705206 6.40079671664826)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-889,Maritime,Lacs,Lacs 1,Canton D’Aneho,Adjido,Payant,{WCs},POINT (1.6039216666666665 6.231945)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-888,Maritime,Lacs,Lacs 3,Gbodjomé,Dague,Nsp,{Latrines seches},POINT (1.4056250000000001 6.207444999999999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-887,Maritime,Avé,Avé 1,Kévé,Ablagame,Gratuit,{Latrines seches},POINT (0.9314116666666667 6.433243333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-886,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,Tsavie,Nsp,{WCs},POINT (0.7555988032474652 7.190240759277004)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-885,Plateaux,Anié,Anié 1,Anié,Anié,Nsp,{WCs},POINT (1.1963716666666668 7.761803333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-884,Maritime,Avé,Avé 2,Aképé,Akepe,Gratuit,{WCs},POINT (1.0519583333333336 6.2470566666666665)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-883,Plateaux,Ogou,Ogou 1,Djama,Alhamdou,Nsp,{WCs},POINT (1.12683 7.5433233333333325)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-882,Maritime,Avé,Avé 2,Aképé,Akepe,Nsp,{WCs},POINT (1.0548066666666667 6.239165000000001)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-881,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyiveme,Payant,"{Latrines a eau,Douches}",POINT (1.207412430680966 6.223535145517303)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-880,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedogan,Payant,{Latrines a eau},POINT (1.2012583333333335 6.197936666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Atchanve,Payant,{Latrines a eau},POINT (1.209522847324876 6.227974951164529)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kleve,Payant,{WCs},POINT (1.2051522972317847 6.227092613325016)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedogan,Payant,{Latrines a eau},POINT (1.202606502709262 6.199628267656907)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Apelebime,Payant,"{Latrines a eau,Douches}",POINT (1.2095700786836485 6.2204589973462205)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ATSANVE,Payant,"{WCs,Douches}",POINT (1.2135812219064588 6.2271901984742914)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-87a,Plateaux,Haho,Haho 1,Notsé,Alinou,Nsp,{WCs},POINT (1.1703862602765538 6.940357035218782)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-879,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ATSANVE-AGBOME,Payant,{WCs},POINT (1.2095363229115736 6.227977763995294)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-878,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,AGOE-AGIP,Payant,"{WCs,Douches}",POINT (1.2072666666666667 6.220624999999999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-877,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,AGOE-AGIP,Payant,"{WCs,Douches}",POINT (1.2095486687711605 6.22047492219033)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-876,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ATSANVE,Payant,{WCs},POINT (1.2124277936719663 6.226777939052906)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-875,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Payant,"{WCs,Latrines a eau,Douches}",POINT (1.196685 6.231233333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-874,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Payant,"{WCs,Latrines a eau,Douches}",POINT (1.1960116666666667 6.2305600000000005)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-873,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Payant,"{WCs,Douches}",POINT (1.1967266666666667 6.231210000000001)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-872,Plateaux,Haho,Haho 1,Notsé,Lomnava,Nsp,{autre},POINT (1.1639826149281207 6.957582720004883)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-871,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidrokpo,Payant,{Latrines a eau},POINT (1.2093183333333333 6.2242999999999995)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-870,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedo,Payant,"{Douches,Latrines a eau}",POINT (1.2082862293248626 6.19598689696984)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Akpatsefi,Nsp,{WCs},POINT (1.2095022472294163 6.226143736370066)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedo,Payant,{Latrines a eau},POINT (1.2016082771159904 6.2001276150759)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Gratuit,Nsp,POINT (1.2047311473427218 6.240054952855686)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86c,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Amadenta,Gratuit,{Latrines seches},POINT (1.1427115044866147 6.244668603375246)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86b,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Avinato,Nsp,{Latrines a eau},POINT (1.136465 6.260836666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-86a,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Gatiglokope,Nsp,{Latrines a eau},POINT (1.1384483333333333 6.261331666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-869,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Madjikpeto,Payant,{Latrines a eau},POINT (1.14018 6.261513333333332)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-868,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,LEGBASSITO CENTRE,Payant,{Latrines a eau},POINT (1.1506049999999999 6.268463333333333)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-867,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Avinato,Nsp,{Latrines a eau},POINT (1.1345633333333334 6.259966666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-866,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Gatiglo-Kope,Nsp,{Latrines a eau},POINT (1.1402095943398394 6.261540758810457)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-865,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassime,Payant,"{Latrines a eau,Douches,Pissotieres}",POINT (1.150588066664204 6.268533243475935)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-864,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,AVINATO,Nsp,{Latrines a eau},POINT (1.1346216666666666 6.25988)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-863,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Payant,{Pissotieres},POINT (1.163231263288298 6.217074529974738)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-862,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,ELAVAGNO,Gratuit,{WCs},POINT (1.1737581599182665 6.211716026849999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-861,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,DANSSAKOPE,Gratuit,{WCs},POINT (1.1616810252985768 6.212744746958774)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-860,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,AWOUDJA KOPE,Gratuit,{WCs},POINT (1.161245 6.223035)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85f,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Gratuit,{WCs},POINT (1.1571979950913993 6.216042958342342)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85e,Plateaux,Ogou,Ogou 1,Djama,Agbonou,Nsp,{autre},POINT (1.146717387384716 7.516976284968802)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85d,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Zongo,Payant,{WCs},POINT (1.2062669571340767 6.255706504141117)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85c,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Atsave,Payant,{WCs},POINT (1.2103947036064135 6.278550663779433)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85b,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe Zongo,Payant,{WCs},POINT (1.2062562362722251 6.255709428121753)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-85a,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe,Payant,"{Latrines seches,WCs}",POINT (1.2091921024348646 6.256190733679907)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-859,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Agoè-nyivé 5,Payant,{WCs},POINT (1.112274767144308 6.228541255510602)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-858,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Vougome,Nsp,{WCs},POINT (1.103968138580128 6.2322118538016005)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-857,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Payant,{Latrines a eau},POINT (1.1122582589615302 6.228614849172927)
