FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,terrain,activite_statut,activite_categorie,geometry
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3789,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Nsp,Néant,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Prive - Collectivite coutumiere,{Inacheve},"{Decharge,Stockage}","MULTIPOLYGON (((1.2298395000291273 6.312729988313782, 1.2293974993689094 6.312164487469091, 1.2299240001553462 6.311650986702074, 1.2308145014854912 6.311215486051566, 1.2314255023981457 6.310981485702042, 1.2318935030972 6.311475486439933, 1.2307255727326398 6.312235030024274, 1.2298395000291273 6.312729988313782)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378a,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.3372500604805266 6.186433731274071, 1.3368313085108148 6.186194444434237, 1.3373936325844282 6.1857637281225335, 1.3377405985021897 6.186026943646352, 1.3372500604805266 6.186433731274071)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378b,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),Depotoir public wodome 1,Depotoir Public Wodome 1,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((0.7166250000000001 6.523865000000001, 0.716869175283965 6.523864797505958, 0.7168644340163152 6.523748636448538, 0.7167245666206459 6.523774713420612, 0.7166392238029493 6.523724930110289, 0.7166250000000001 6.523865000000001)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378c,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.3098088847948652 6.180449244644905, 1.3090986449766502 6.1803541232406785, 1.3087942564831294 6.179948271915985, 1.3093459606276356 6.179770711961432, 1.3095235205821891 6.179155593547442, 1.3100308347380574 6.179180959255235, 1.3100308347380574 6.180201928993919, 1.3098088847948652 6.180449244644905)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378d,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.304695908802529 6.15364572658372, 1.3048042075123336 6.153473222210246, 1.3047686236505407 6.153383488993551, 1.3043199722038827 6.153281256441153, 1.3042443117225644 6.15352776317061, 1.304695908802529 6.15364572658372)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378e,Plateaux,Amou,Amou 1,Adiva,Depotoire awouladi 2,Depotoire Awouladi 2,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.0227905273397244 7.511668534005272, 1.022902038577741 7.511596671207439, 1.0227583129820756 7.511452945611774, 1.0226988403218 7.511487637996935, 1.0227905273397244 7.511668534005272)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_378f,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.3061978717943583 6.173603848856881, 1.3061421002112792 6.172926224122471, 1.3056039551763357 6.17310369748506, 1.3051631342434562 6.173836490724134, 1.3061592750528208 6.174151362819048, 1.3062394243133442 6.174260136815474, 1.3061936247359023 6.173699091991809, 1.3061878997887224 6.173624667678466, 1.3061421002112794 6.173573143153837, 1.3061978717943583 6.173603848856881)), ((1.3062565991548845 6.174317386287271, 1.3057241790671208 6.1748211816391345, 1.3066115458800602 6.1750788042622435, 1.306651620510322 6.1738536655656695, 1.3061978717943583 6.173603848856881, 1.3062565991548845 6.174317386287271)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3790,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.343447861567498 6.184809122749844, 1.3436442697429445 6.1849799124676235, 1.3436400000000002 6.186025999489024, 1.3432813415926625 6.185957683601912, 1.3431148216178272 6.185483742135073, 1.3430251570159932 6.184915866323456, 1.343447861567498 6.184809122749844)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3791,Plateaux,Agou,Agou 1,Agou-Tavié,Depotoir public akoumawou,Depotoir Public Akoumawou,Nsp,"{Lundi,Mardi,Jeudi,Mercredi,Vendredi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((0.7313530335492979 6.846618429928433, 0.7315427027070358 6.846573039018888, 0.7315216283561761 6.846480636095888, 0.7313141270554031 6.846537374732818, 0.7313530335492979 6.846618429928433)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3792,Plateaux,Agou,Agou 1,Gadja,Depotoir de zionou,Depotoir De Zionou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,{Decharge},"MULTIPOLYGON (((0.8254218465017362 6.878352747852709, 0.8255667661417848 6.878381731780719, 0.825674177169115 6.878356157726592, 0.8256997512232414 6.878318649113874, 0.8254849291685812 6.878296484933631, 0.8254218465017362 6.878352747852709)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3793,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Decharge publique de kpogandji,Decharge Publique De Kpogandji,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,Nsp,{Decharge},"MULTIPOLYGON (((0.6731172280140529 6.90208852674312, 0.6730896012108539 6.902000120972883, 0.6731117026534131 6.901834360153689, 0.6730453983257354 6.9017514797440915, 0.6729790939980576 6.901640972531296, 0.6728685867852614 6.901480737072741, 0.6727801810150243 6.901281824089708, 0.6727111140070265 6.901016606778996, 0.6726420469990289 6.900798355033725, 0.672523251745273 6.900541425763972, 0.6724099818521568 6.9003508008219, 0.6722773731968013 6.90035356350222, 0.6720784602137678 6.90035356350222, 0.6719292754764928 6.900378427625098, 0.6717358878540992 6.900455782674055, 0.6717745653785778 6.900591154009731, 0.6718602084684953 6.900814931115643, 0.6719154620748935 6.900881235443321, 0.6720950362956876 6.900886760803961, 0.6721751540249649 6.900944777090679, 0.672291186598401 6.901066335024755, 0.6722497463936022 6.901168554196591, 0.6721447645414458 6.90126524800779, 0.6721060870169671 6.901389568622184, 0.6720618841318484 6.90149731315466, 0.6720646468121683 6.901729378301533, 0.6720922736153673 6.9019089525223265, 0.6721463407947678 6.901997982356919, 0.6722352220182627 6.902115143969708, 0.6724937855775207 6.902183824915136, 0.6728614306383408 6.902183824915136, 0.6731172280140529 6.90208852674312)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3794,Plateaux,Amou,Amou 1,Amlamé (Ouma),Depotoire,Depotoire,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((0.9039770688465102 7.466015321120004, 0.9035945375720633 7.466122908040942, 0.9039591376930205 7.466666819696795, 0.9043715542232836 7.466529347520041, 0.9039770688465102 7.466015321120004)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3795,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Dépotoir,Dépotoir,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Domaine public de l'Etat ou des collectivites territoriales,{autre},{Decharge},"MULTIPOLYGON (((1.6463766666666668 6.497280000000001, 1.6463866666666664 6.4974983333333345, 1.6466962719993743 6.497562343391944, 1.6467172983246225 6.497350843296798, 1.6467172983246225 6.497350843296798, 1.6465317719253727 6.497301369590332, 1.6463766666666668 6.497280000000001)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3796,Maritime,Golfe,Golfe 3,Bè-Ouest,Saprom sarl,Saprom Sarl,Tokoin Gbonvié,Nsp,Nsp,{autre},Nsp,"MULTIPOLYGON (((1.2220511266527085 6.154220766418452, 1.2220598078699054 6.154137752279007, 1.2220223701207436 6.154135581974707, 1.2220142314796216 6.154217510962001, 1.2220511266527085 6.154220766418452)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3797,Plateaux,Haho,Haho 2,Asrama,Depotoire2 d'asrama,Depotoire2 D'asrama,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Nsp,Nsp,"MULTIPOLYGON (((1.4048316666666667 7.004353333333333, 1.4048933333333333 7.004481666666667, 1.4049765627277913 7.004422580997571, 1.4048316666666667 7.004353333333333)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3798,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Depotoir de ahonkpoe,Depotoir De Ahonkpoe,Nsp,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Prive - Collectivite coutumiere,{Construit et actif},{Decharge},"MULTIPOLYGON (((1.172071391601481 6.266736513325319, 1.1726260428295903 6.266561900901657, 1.172816062231813 6.26641296677559, 1.1728109265722935 6.266120234182977, 1.1726106358510315 6.266022656652106, 1.172507922660641 6.26586858686652, 1.1721997830894695 6.265950757418833, 1.171896779177817 6.266002114014028, 1.1717786590088675 6.2659148078021945, 1.1715937752661645 6.266222947373366, 1.1716399962018402 6.266479730349344, 1.1718659652206995 6.26674164898484, 1.172071391601481 6.266736513325319)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_3799,Maritime,Golfe,Golfe 6,Baguida,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,Décharge,"MULTIPOLYGON (((1.3246122856486071 6.187423279016516, 1.3246688157289803 6.187150050294712, 1.3253660200535822 6.187555182537385, 1.3246122856486071 6.187423279016516)))"
_mview_villehygiene_etablissements_traitement_dechets.fid--6cedeb21_19489067e9f_379a,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Poursenga 2,Poursenga 2,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Domaine public de l'Etat ou des collectivites territoriales,{En construction},{Decharge},"MULTIPOLYGON (((0.0363233333333333 11.099673333333332, 0.0363203850023365 11.099699712224192, 0.0362909016923683 11.099695289727697, 0.0363233333333333 11.099673333333332)))"
